Country_display,count
Japan,64
Italy,60
Spain,49
France,47
Switzerland,45
Palestine,42
Maldives,37
Greece,36
Turkey,32
Egypt,30
Usa,28
Saudi Arabia,24
China,23
Iceland,22
Jordan,19
Brazil,19
Canada,18
Indonesia,16
United States,15
United Kingdom,15
United Arab Emirates,15
Germany,12
Peru,12
Austria,12
Norway,12
Russia,12
Thailand,11
Australia,9
Morocco,9
India,9
Nepal,8
Uae,7
Netherlands,7
South Africa,6
Finland,5
Singapore,5
Paris,4
Poland,4
Antarctica,4
Tanzania,4
Tunisia,4
Chile,4
Korea,4
New Zealand,4
United States Of America,4
Türkiye,3
England,3
United Kingdom (Scotland),3
Qatar,3
South Korea,3
Malaysia,3
Hungary,3
Syria,3
Jerusalem,3
Vietnam,3
London,3
Scotland,2
Argentina,2
Algeria,2
Mexico,2
Ireland,2
Georgia,2
Greenland,2
Kenya,2
Lebanon,2
Serbia,2
New York,2
Uk,2
Denmark,2
Yemen,2
French Polynesia,2
Slovenia,2
Turkiye,1
Eygypt,1
Albania,1
Pakistan,1
Kazakhstan,1
Bosnia And Herzegovina,1
Sweden,1
Interlaken,1
Bali,1
"Antarctica (Continent, Not A Country)",1
Bahamas,1
Croatia,1
Holland,1
Prague,1
Italy (Lake Como),1
Suadi Arabia,1
Afghanistan,1
Philippines,1
Bolivia,1
Ukraine,1
Bali – Indonesia.,1
Costa Rica,1
Colombia,1
Taiwan,1
The Netherlands,1
Zambia,1
Seychelles,1
Cambodia,1
Monaco,1
California,1
Myanmar,1
Preu,1
Rapa Nui,1
Wales,1
Miami,1
Bhutan,1
Mecca,1
Andorra,1
Cyprus,1
Easter Island,1
Czech Republic,1
Santorini,1
Malta,1
Hong Kong,1
Zimbabwe/Zambia,1
Tokyo/Japan,1
"North Pole, Alaska",1
"California, Usa",1
China And Mongolia,1
Czechia,1
Portugal,1
Oman,1
Uzbekistan,1
Vienna,1
Zimbabwe,1
